Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
An.MALAYO-SUMBAWAN,An,10.1637,40.8167,3.2406,1.7002,1.9790,24.2280,25.2367,23.0676,0.8502,2.1691,mean,-0.2346,0.2838,-0.3074,-0.2650,-0.1866,0.2423,-0.1289,0.4559,-0.6481,-0.5120
An.MALAYO-SUMBAWAN,An,10.1494,40.8221,3.2368,1.6995,1.9744,25.6094,26.4063,24.4755,0.6017,1.5281,median,-0.2532,0.2850,-0.3256,-0.2760,-0.2281,0.6119,0.1634,0.7559,-1.0729,-0.8217
An.MINAHASAN,An,10.3580,42.5405,3.3823,1.7053,2.0505,24.3091,24.9004,23.7680,0.5467,1.1324,mean,0.0206,0.6787,0.3907,-0.1882,0.4558,0.2629,-0.2086,0.6018,-1.1949,-1.0849
An.MINAHASAN,An,10.1728,41.9778,3.3126,1.6874,2.0396,24.7727,25.4546,24.2208,0.5584,1.2339,median,-0.2228,0.5502,0.0439,-0.4556,0.3574,0.3832,-0.0763,0.6997,-1.1677,-1.0097
An.MOKLEN-MOKEN,An,9.4780,37.9060,3.1296,1.6940,1.8947,26.6353,27.9993,25.7265,0.8335,2.2728,mean,-1.0960,-0.3912,-0.8342,-0.3588,-0.9407,0.9138,0.6007,1.0456,-0.6718,-0.4705
An.MOKLEN-MOKEN,An,9.4780,37.9060,3.1296,1.6940,1.8947,26.6353,27.9993,25.7265,0.8335,2.2728,median,-1.0960,-0.3912,-0.8342,-0.3588,-0.9407,0.9138,0.6007,1.0456,-0.6718,-0.4705
An.NASAL,An,9.9298,37.9174,3.2020,1.7131,1.9269,25.4372,26.0859,25.0723,0.5405,1.0136,mean,-0.5353,-0.3885,-0.4926,-0.0704,-0.6533,0.5636,0.0809,0.8913,-1.2094,-1.1818
An.NASAL,An,9.9298,37.9174,3.2020,1.7131,1.9269,25.4372,26.0859,25.0723,0.5405,1.0136,median,-0.5353,-0.3885,-0.4926,-0.0704,-0.6533,0.5636,0.0809,0.8913,-1.2094,-1.1818
An.NORTHERN_LUZON,An,10.1174,40.2582,3.2203,1.6889,1.9667,21.9145,23.8236,19.2309,1.6234,4.5927,mean,-0.2947,0.1551,-0.4049,-0.4338,-0.2970,-0.2894,-0.4510,-0.2354,0.0865,0.1588
An.NORTHERN_LUZON,An,10.1606,40.8193,3.2418,1.6918,1.9705,22.0259,23.8285,19.3412,1.6188,4.5649,median,-0.2386,0.2844,-0.3015,-0.3906,-0.2631,-0.2662,-0.4499,-0.2179,0.0835,0.1533
An.NORTHWEST_FORMOSAN,An,10.1297,41.3640,3.2062,1.6787,1.9431,17.3875,22.4722,10.9526,4.1640,11.5195,mean,-0.2788,0.4095,-0.4726,-0.5828,-0.5080,-1.0588,-0.7284,-1.2199,1.0295,0.9954
An.NORTHWEST_FORMOSAN,An,9.9320,40.7442,3.1554,1.6670,1.9203,13.9350,19.5087,7.1315,4.4534,12.3771,median,-0.5325,0.2671,-0.7135,-0.7514,-0.7122,-1.4503,-1.2389,-1.4985,1.0914,1.0613
